,Price,NumBedrooms,NumBathrooms,Floor_Space,Frontyard_space_in_ft,Bathroom_Level,Bedroom_Level,Primary_Bedroom_Level,Architectural Style,Number_Parking_Spaces
587,1040000.0,5.0,4.0,2527.0,36.18,4,4,4,3.0,6.0
588,849900.0,4.0,3.0,1839.2842264150943,58.57068322981366,-1,4,-1,-1.0,6.0
589,575000.0,2.0,2.0,1435.0,58.57068322981366,2,2,2,7.0,2.0
590,1449000.0,4.0,3.0,1839.2842264150943,58.57068322981366,-1,-1,4,-1.0,6.0
591,1278900.0,5.0,4.0,2744.0,60.0,4,4,4,3.0,0.0
592,1999900.0,0.0,1.0,1839.2842264150943,113.0,-1,-1,-1,-1.0,0.0
593,1999900.0,0.0,1.0,1839.2842264150943,120.0,-1,-1,-1,-1.0,0.0
594,969900.0,4.0,3.0,2209.0,35.0,2,4,4,3.0,0.0
595,949900.0,4.0,3.0,2209.0,35.0,2,4,4,3.0,0.0
596,880000.0,3.0,2.0,1366.0,60.15,4,4,4,8.0,0.0
597,725000.0,5.0,3.0,948.85,60.0,4,4,4,10.0,4.0
598,689900.0,5.0,2.0,1839.2842264150943,58.57068322981366,2,2,-1,-1.0,6.0
599,1550000.0,6.0,5.0,1839.2842264150943,58.57068322981366,-1,2,4,-1.0,6.0
600,719999.0,3.0,4.0,2000.0,27.21,0,4,-1,3.0,2.0
601,1089000.0,4.0,4.0,2258.0,53.88,4,0,4,3.0,0.0
602,599900.0,3.0,3.0,1800.0,20.0,2,5,4,10.0,2.0
603,469900.0,3.0,2.0,1200.0,58.57068322981366,4,4,4,3.0,0.0
604,399900.0,2.0,2.0,821.0,58.57068322981366,2,2,2,7.0,0.0
605,389000.0,2.0,2.0,1839.2842264150943,58.57068322981366,-1,2,2,-1.0,1.0
606,1939000.0,4.0,5.0,3938.0,64.21,4,4,2,3.0,0.0
607,1499000.0,4.0,4.0,2803.0,70.2,4,4,4,3.0,0.0
608,849000.0,6.0,6.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,1.0
609,799900.0,3.0,4.0,1682.31,33.46,2,4,4,3.0,3.0
